,Multiple,Revenue,Daily Rate,Occupancy,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,$/SQUARE FEET,HOA/MONTH,LATITUDE,LONGITUDE
0,7.940324138671246,46585.0,165.0,0.77,Single Family Residential,1216 Lincoln St,FAIRFIELD,CA,94533,369900,3,1.0,FAIRFIELD 7,1034,8712.0,1951.0,358,0.0,38.255349,-122.04687720000001
0,18.292526927111314,39087.0,224.0,0.48,Single Family Residential,2741 Kaanapali Dr,FAIRFIELD,CA,94534,715000,4,3.0,FAIRFIELD 3,2936,8054.0,1989.0,244,61.0,38.2853476,-122.0748007
0,16.41377297928217,41124.0,140.0,0.8,Single Family Residential,4488 Avondale Cir,FAIRFIELD,CA,94533,675000,3,3.0,FAIRFIELD 1,3032,9879.0,2006.0,223,34.0,38.3002965,-122.02583
0,22.40187891440501,39278.0,224.0,0.48,Single Family Residential,3263 Congressional Cir,FAIRFIELD,CA,94534,879901,4,3.0,FAIRFIELD 3,3346,9492.0,1999.0,263,61.0,38.2868273,-122.0732976
0,8.726746413520072,46982.0,159.0,0.81,Single Family Residential,2281 Ross Pl,FAIRFIELD,CA,94533,410000,4,2.0,FAIRFIELD 6,1608,7405.0,1971.0,255,0.0,38.27145,-122.0019804
0,13.794715922375497,42770.0,144.0,0.81,Single Family Residential,2016 Fieldstone Ct,FAIRFIELD,CA,94534,590000,4,3.0,FAIRFIELD 3,2822,8690.0,1990.0,209,0.0,38.2923013,-122.03968429999999
0,9.530725242806572,44068.0,158.0,0.76,Single Family Residential,1324 Buckingham Dr,FAIRFIELD,CA,94533,420000,3,2.0,FAIRFIELD 5,1646,5663.0,1966.0,255,0.0,38.2692383,-122.0510507
0,8.305232921193955,48042.0,169.0,0.78,Single Family Residential,947 Missouri St,FAIRFIELD,CA,94533,399000,2,1.0,FAIRFIELD 7,1120,7405.0,1930.0,356,0.0,38.2479659,-122.0456784
0,11.346618609108713,47998.0,169.0,0.78,Single Family Residential,1955 Kalis St,FAIRFIELD,CA,94533,544615,4,2.5,SUISUN 10,2346,2840.0,2020.0,232,190.0,38.248400700000005,-122.0642379
0,7.492434519461547,47915.0,164.0,0.8,Single Family Residential,1912 San Anselmo St,FAIRFIELD,CA,94533,359000,3,1.0,FAIRFIELD 6,960,5663.0,1961.0,374,0.0,38.2639447,-122.02898290000002
0,19.387730678091863,41779.0,135.0,0.85,Single Family Residential,3195 Dover Ave,FAIRFIELD,CA,94533,810000,4,3.0,FAIRFIELD 2,3988,38106.0,1966.0,203,0.0,38.28674829999999,-122.02529709999999
0,13.252244117490838,37654.0,175.0,0.59,Single Family Residential,2109 Marchador Dr,FAIRFIELD,CA,94534,499000,3,2.0,CORDELIA,1458,4177.0,2011.0,342,0.0,38.16542379999999,-122.12791990000001
0,14.980642621229686,45719.0,164.0,0.76,Single Family Residential,1682 River Oaks Cir,FAIRFIELD,CA,94533,684900,3,2.0,FAIRFIELD 1,2184,11138.0,2000.0,314,41.0,38.297981799999995,-122.0179695
0,7.637785653183429,49098.0,168.0,0.8,Single Family Residential,1501 Eisenhower St,FAIRFIELD,CA,94533,375000,3,2.0,FAIRFIELD 7,1097,5227.0,1956.0,342,0.0,38.257618799999996,-122.0294269
0,8.92996673587391,44793.0,154.0,0.8,Single Family Residential,1161 Meadowlark Dr,FAIRFIELD,CA,94533,400000,3,2.0,FAIRFIELD 6,1248,6970.0,1970.0,321,0.0,38.2673622,-122.00957549999998
0,24.57984991941982,39712.0,152.0,0.72,Single Family Residential,1821 Oldenburg Dr,FAIRFIELD,CA,94534,976115,5,4.0,CORDELIA,3136,6656.0,2018.0,311,0.0,38.1639125,-122.13604050000001
0,13.418561530203963,40988.0,137.0,0.82,Single Family Residential,1031 Suffolk Way,FAIRFIELD,CA,94533,550000,4,2.5,FAIRFIELD 1,2938,8233.0,1989.0,187,0.0,38.2873865,-122.01574620000001
0,9.31553709416328,65482.0,262.0,0.68,Single Family Residential,5037 Soprano Cir,FAIRFIELD,CA,94534,610000,4,2.5,CORDELIA,2401,3559.0,2017.0,254,0.0,38.1963114,-122.1406965
0,14.11205496231992,37553.0,145.0,0.71,Single Family Residential,3442 nantucket Dr,FAIRFIELD,CA,94534,529950,5,2.5,FAIRFIELD 4,2392,8712.0,1984.0,222,0.0,38.263406200000006,-122.07597700000001
0,10.966355222178358,45594.0,186.0,0.67,Single Family Residential,514 Flora Springs Ct,FAIRFIELD,CA,94534,500000,3,2.5,GREEN VALLEY 1,1747,2753.0,2002.0,286,181.0,38.2234946,-122.14211609999998
0,8.707883984191842,44787.0,155.0,0.79,Single Family Residential,2015 Thrush Way,FAIRFIELD,CA,94533,390000,3,2.0,FAIRFIELD 6,1114,6098.0,1966.0,350,0.0,38.2682598,-122.02076740000001
0,22.673964034401877,39649.0,229.0,0.47,Single Family Residential,3345 Spyglass Ct,FAIRFIELD,CA,94534,899000,6,3.5,FAIRFIELD 3,5300,9592.0,2002.0,170,65.0,38.2903698,-122.08281240000001
0,11.272136339014125,47998.0,169.0,0.78,Single Family Residential,1966 Elijah St,FAIRFIELD,CA,94533,541040,5,3.0,SUISUN 10,2387,2836.0,2020.0,227,190.0,38.264183,-121.98953200000001
0,9.295065927409961,42926.0,199.0,0.59,Single Family Residential,1701 Minnesota St,FAIRFIELD,CA,94533,399000,3,2.0,FAIRFIELD 8,1404,5663.0,1955.0,284,0.0,38.2547736,-122.05999779999999
0,20.525348175384693,39707.0,152.0,0.72,Single Family Residential,1817 Oldenburg Dr,FAIRFIELD,CA,94534,815000,5,4.0,CORDELIA,3472,6309.0,2020.0,235,0.0,38.161971,-122.136371
0,12.272089761570827,45632.0,164.0,0.76,Single Family Residential,4078 Shaker Run Cir,FAIRFIELD,CA,94533,560000,4,3.0,FAIRFIELD 1,2174,7462.0,1998.0,258,41.0,38.2972677,-122.0178807
0,19.109969008264464,38720.0,223.0,0.48,Single Family Residential,3267 Torrey Pines Dr,FAIRFIELD,CA,94534,739938,4,3.0,FAIRFIELD 3,3487,5166.0,1999.0,212,61.0,38.2909909,-122.07804099999998
0,26.454175730634635,52865.0,231.0,0.63,Single Family Residential,1505 Rockville Rd,FAIRFIELD,CA,94534,1398500,4,4.5,GREEN VALLEY 2,5750,60984.0,1976.0,243,0.0,38.259654,-122.171062
