,SPGI
1980-01-02,0.045049
1980-01-03,0.044841
1980-01-04,0.045049
1980-01-07,0.044634
1980-01-08,0.045049
1980-01-09,0.046502
1980-01-10,0.047332
1980-01-11,0.048578
1980-01-14,0.048578
1980-01-15,0.047332
1980-01-16,0.04671
1980-01-17,0.047332
1980-01-18,0.048163
1980-01-21,0.048993
1980-01-22,0.049201
1980-01-23,0.048993
1980-01-24,0.048786
1980-01-25,0.049616
1980-01-28,0.050446
1980-01-29,0.050239
1980-01-30,0.050239
1980-01-31,0.050031
1980-02-01,0.050862
1980-02-04,0.050239
1980-02-05,0.049408
1980-02-06,0.049616
1980-02-07,0.049201
1980-02-08,0.051069
1980-02-11,0.050031
1980-02-12,0.050031
1980-02-13,0.049824
1980-02-14,0.048993
1980-02-15,0.047332
1980-02-19,0.04671
1980-02-20,0.046502
1980-02-21,0.046087
1980-02-22,0.046502
1980-02-25,0.04671
1980-02-26,0.044841
1980-02-27,0.04318
1980-02-28,0.041727
1980-02-29,0.043388
1980-03-03,0.043596
1980-03-04,0.044218
1980-03-05,0.043388
1980-03-06,0.043388
1980-03-07,0.04318
1980-03-10,0.04318
1980-03-11,0.043803
1980-03-12,0.042558
1980-03-13,0.042765
1980-03-14,0.043803
1980-03-17,0.042142
1980-03-18,0.04152
1980-03-19,0.040689
1980-03-20,0.041104
1980-03-21,0.04152
1980-03-24,0.040897
1980-03-25,0.04152
1980-03-26,0.04152
1980-03-27,0.04152
1980-03-28,0.04318
1980-03-31,0.04318
1980-04-01,0.044426
1980-04-02,0.046087
1980-04-03,0.048163
1980-04-07,0.047332
1980-04-08,0.046294
1980-04-09,0.047748
1980-04-10,0.047748
1980-04-11,0.04754
1980-04-14,0.047125
1980-04-15,0.046502
1980-04-16,0.047748
1980-04-17,0.047332
1980-04-18,0.046917
1980-04-21,0.046087
1980-04-22,0.047955
1980-04-23,0.047332
1980-04-24,0.04671
1980-04-25,0.045879
1980-04-28,0.046294
1980-04-29,0.046294
1980-04-30,0.046502
1980-05-01,0.046917
1980-05-02,0.046502
1980-05-05,0.047125
1980-05-06,0.047748
1980-05-07,0.04754
1980-05-08,0.047332
1980-05-09,0.04671
1980-05-12,0.04754
1980-05-13,0.049201
1980-05-14,0.049824
1980-05-15,0.051277
1980-05-16,0.051277
1980-05-19,0.049616
1980-05-20,0.049824
1980-05-21,0.050446
1980-05-22,0.050239
1980-05-23,0.050446
1980-05-27,0.050862
1980-05-28,0.050654
1980-05-29,0.049408
1980-05-30,0.048993
1980-06-02,0.049408
1980-06-03,0.049616
1980-06-04,0.048993
1980-06-05,0.049824
1980-06-06,0.049824
1980-06-09,0.049824
1980-06-10,0.050031
1980-06-11,0.050654
1980-06-12,0.051277
1980-06-13,0.052315
1980-06-16,0.052107
1980-06-17,0.0519
1980-06-18,0.05273
1980-06-19,0.050862
1980-06-20,0.050031
1980-06-23,0.048993
1980-06-24,0.048993
1980-06-25,0.050031
1980-06-26,0.050239
1980-06-27,0.050446
1980-06-30,0.051277
1980-07-01,0.051484
1980-07-02,0.051692
1980-07-03,0.051484
1980-07-07,0.052315
1980-07-08,0.052522
1980-07-09,0.05273
1980-07-10,0.052522
1980-07-11,0.05356
1980-07-14,0.054806
1980-07-15,0.054806
1980-07-16,0.054598
1980-07-17,0.054391
1980-07-18,0.054598
1980-07-21,0.054598
1980-07-22,0.054806
1980-07-23,0.054391
1980-07-24,0.054391
1980-07-25,0.05356
1980-07-28,0.05273
1980-07-29,0.053353
1980-07-30,0.052938
1980-07-31,0.052938
1980-08-01,0.055844
1980-08-04,0.057297
1980-08-05,0.058127
1980-08-06,0.060203
1980-08-07,0.060826
1980-08-08,0.061034
1980-08-11,0.059788
1980-08-12,0.058127
1980-08-13,0.058127
1980-08-14,0.05792
1980-08-15,0.058335
1980-08-18,0.05792
1980-08-19,0.058543
1980-08-20,0.060619
1980-08-21,0.061449
1980-08-22,0.061864
1980-08-25,0.061241
1980-08-26,0.061864
1980-08-27,0.060619
1980-08-28,0.059581
1980-08-29,0.058958
1980-09-02,0.059165
1980-09-03,0.061864
1980-09-04,0.062279
1980-09-05,0.062279
1980-09-08,0.061657
1980-09-09,0.062279
1980-09-10,0.062902
1980-09-11,0.064978
1980-09-12,0.064978
1980-09-15,0.064771
1980-09-16,0.065393
1980-09-17,0.065186
1980-09-18,0.065809
1980-09-19,0.066224
1980-09-22,0.065601
1980-09-23,0.064771
1980-09-24,0.064978
1980-09-25,0.064355
1980-09-26,0.064563
1980-09-29,0.062279
1980-09-30,0.065186
1980-10-01,0.065601
1980-10-02,0.065809
1980-10-03,0.064771
1980-10-06,0.066224
1980-10-07,0.065393
1980-10-08,0.066016
1980-10-09,0.065186
1980-10-10,0.064563
1980-10-13,0.064355
1980-10-14,0.064563
1980-10-15,0.065393
1980-10-16,0.065186
1980-10-17,0.064563
1980-10-20,0.064355
1980-10-21,0.064771
1980-10-22,0.06311
1980-10-23,0.06311
1980-10-24,0.063525
1980-10-27,0.062279
1980-10-28,0.063525
1980-10-29,0.062902
1980-10-30,0.063317
1980-10-31,0.063525
1980-11-03,0.064978
1980-11-05,0.065601
1980-11-06,0.064978
1980-11-07,0.066016
1980-11-10,0.066847
1980-11-11,0.066847
1980-11-12,0.067469
1980-11-13,0.069753
1980-11-14,0.069961
1980-11-17,0.068507
1980-11-18,0.069753
1980-11-19,0.069545
1980-11-20,0.069753
1980-11-21,0.069338
1980-11-24,0.069338
1980-11-25,0.070168
1980-11-26,0.069753
1980-11-28,0.06913
1980-12-01,0.066847
1980-12-02,0.065601
1980-12-03,0.065601
1980-12-04,0.067262
1980-12-05,0.064771
1980-12-08,0.064148
1980-12-09,0.06311
1980-12-10,0.063317
1980-12-11,0.064355
1980-12-12,0.064148
1980-12-15,0.06394
1980-12-16,0.062695
1980-12-17,0.065393
1980-12-18,0.067262
1980-12-19,0.068092
1980-12-22,0.068507
1980-12-23,0.069545
1980-12-24,0.069961
1980-12-26,0.069961
1980-12-29,0.070168
1980-12-30,0.073075
1980-12-31,0.076811
1981-01-02,0.073075
1981-01-05,0.073697
1981-01-06,0.072452
1981-01-07,0.068092
1981-01-08,0.070168
1981-01-09,0.069961
1981-01-12,0.070999
1981-01-13,0.071829
1981-01-14,0.072037
1981-01-15,0.072037
1981-01-16,0.071829
1981-01-19,0.070791
1981-01-20,0.070376
1981-01-21,0.068092
1981-01-22,0.070376
1981-01-23,0.069753
1981-01-26,0.069753
1981-01-27,0.069753
1981-01-28,0.073075
1981-01-29,0.071414
1981-01-30,0.071414
1981-02-02,0.070168
1981-02-03,0.069545
1981-02-04,0.069545
1981-02-05,0.069753
1981-02-06,0.070168
1981-02-09,0.069753
1981-02-10,0.068923
1981-02-11,0.0683
1981-02-12,0.067262
1981-02-13,0.066847
1981-02-17,0.066431
1981-02-18,0.066224
1981-02-19,0.065393
1981-02-20,0.066639
1981-02-23,0.066639
1981-02-24,0.066431
1981-02-25,0.066431
1981-02-26,0.066847
1981-02-27,0.068923
1981-03-02,0.070168
1981-03-03,0.071414
1981-03-04,0.072659
1981-03-05,0.073075
1981-03-06,0.072452
1981-03-09,0.073697
1981-03-10,0.073697
1981-03-11,0.075151
1981-03-12,0.075981
1981-03-13,0.076396
1981-03-16,0.074943
1981-03-17,0.075358
1981-03-18,0.074943
1981-03-19,0.075566
1981-03-20,0.075566
1981-03-23,0.077019
1981-03-24,0.076396
1981-03-25,0.076604
1981-03-26,0.075773
1981-03-27,0.075981
1981-03-30,0.073075
1981-03-31,0.074528
1981-04-01,0.07432
1981-04-02,0.073697
1981-04-03,0.073075
1981-04-06,0.072244
1981-04-07,0.071414
1981-04-08,0.071829
1981-04-09,0.073905
1981-04-10,0.07349
1981-04-13,0.07349
1981-04-14,0.073697
1981-04-15,0.076811
1981-04-16,0.077849
1981-04-20,0.078264
1981-04-21,0.077227
1981-04-22,0.077227
1981-04-23,0.078057
1981-04-24,0.078887
1981-04-27,0.079095
1981-04-28,0.079718
1981-04-29,0.079718
1981-04-30,0.078057
1981-05-01,0.078264
1981-05-04,0.077227
1981-05-05,0.075981
1981-05-06,0.075151
1981-05-07,0.075981
1981-05-08,0.075566
1981-05-11,0.076396
1981-05-12,0.077019
1981-05-13,0.076811
1981-05-14,0.076604
1981-05-15,0.076604
1981-05-18,0.078057
1981-05-19,0.07868
1981-05-20,0.079718
1981-05-21,0.081794
1981-05-22,0.080548
1981-05-26,0.079718
1981-05-27,0.081794
1981-05-28,0.082624
